ID,Target Pressure (Bar)
0,0.22844781
1,0.2305367
2,0.23262559
3,0.22931777
4,0.23247492
5,0.23563193
6,0.16999334
7,0.17315048
8,0.17548817
9,1.6603023
10,1.4594845
11,1.285128
12,2.9341984
13,2.2058303
14,1.916822
15,1.7486339
16,1.5188701
17,1.2891067
18,0.91991335
19,0.7217989
20,0.6625327
21,0.5564227
22,0.81293106
23,0.5373775
24,0.54637283
25,0.469719
26,0.4039752
27,0.055359796
28,0.046967827
29,0.038811337
30,0.043734785
31,0.03914367
32,0.033805195
33,0.020329177
34,0.015303843
35,0.013154134
36,0.24728559
37,0.18227468
38,0.113735035
39,0.4863364
40,0.28208244
41,0.15903974
42,0.30590707
43,0.15880923
44,0.11225522
45,0.17004411
46,0.10264382
47,0.05328158
48,0.048753545
49,0.04939939
50,0.029888391
51,0.10355538
52,0.0665711
53,0.022779718
54,0.13409369
55,0.12550452
56,0.12405269
57,0.12424788
58,0.115565166
59,0.11625096
60,0.114402115
61,0.10501373
62,0.118416
63,1.0600934
64,0.9120835
65,0.5366231
66,1.0632867
67,0.65480936
68,0.44014794
69,0.85498583
70,0.4678074
71,0.3584686
72,0.57520765
73,0.41251633
74,0.3023213
75,0.21311486
76,0.1860398
77,0.15972245
78,0.21894269
79,0.16137949
80,0.113991104
81,0.10347374
82,0.102891594
83,0.11842647
84,0.056653585
85,0.05682464
86,0.054099508
87,0.040216494
88,0.047576956
89,0.047235128
90,0.5127532
91,0.42091107
92,0.33184624
93,0.3914356
94,0.3165955
95,0.22533233
96,0.24163157
97,0.19934967
98,0.15461409
99,0.28928077
100,0.22575325
101,0.20856164
102,0.15877798
103,0.11442299
104,0.0745479
105,0.09480204
106,0.06848769
107,0.053615797
108,0.15585567
109,0.15933682
110,0.16029401
111,0.11154762
112,0.11090234
113,0.110256985
114,0.07696475
115,0.07627862
116,0.07591671
117,1.2517262
118,0.9672506
119,0.6793747
120,0.96192557
121,0.6906416
122,0.5419751
123,0.5863441
124,0.49325585
125,0.40016747
126,0.5951807
127,0.49075258
128,0.38872564
129,0.2770529
130,0.23195899
131,0.17994812
132,0.18899713
